n,avg_time_s,GFLOPS_s
441,0.023096,1.149
442,0.023174,1.152
443,0.023497,1.144
444,0.023331,1.159
445,0.023615,1.153
446,0.023069,1.187
447,0.023299,1.183
448,0.023156,1.198
449,0.023395,1.193
450,0.022981,1.222
451,0.023291,1.213
452,0.023655,1.202
453,0.023247,1.231
454,0.023387,1.231
455,0.023229,1.247
456,0.023345,1.249
457,0.023090,1.270
458,0.023397,1.261
459,0.023289,1.275
460,0.023195,1.288
461,0.023090,1.302
462,0.023286,1.299
463,0.023057,1.320
464,0.023168,1.321
465,0.023078,1.334
466,0.023442,1.322
467,0.023329,1.336
468,0.023587,1.329
469,0.023553,1.339
470,0.023789,1.334
471,0.023442,1.362
472,0.023593,1.361
473,0.022883,1.412
474,0.023129,1.405
475,0.023424,1.396
476,0.023332,1.409
477,0.023185,1.427
478,0.023255,1.431
479,0.023583,1.419
480,0.023202,1.451
481,0.023664,1.431
482,0.023495,1.450
483,0.023487,1.459
484,0.023275,1.481
485,0.023622,1.467
486,0.023180,1.504
487,0.023583,1.487
488,0.023433,1.505
489,0.023297,1.522
490,0.023662,1.508
491,0.023469,1.529
492,0.023213,1.554
493,0.023176,1.566
494,0.022789,1.602
495,0.023144,1.586
496,0.023410,1.577
497,0.023181,1.601
498,0.024197,1.543
499,0.023987,1.565
500,0.023443,1.610
501,0.023193,1.637
502,0.023659,1.614
503,0.023408,1.640
504,0.023721,1.628
505,0.023201,1.673
506,0.023655,1.650
507,0.023306,1.684
508,0.023348,1.691
509,0.023124,1.717
510,0.023175,1.722
511,0.023326,1.720
512,0.022313,1.809
