n,flops_count,avg_time(s),flops_per_sec
309,59198220,0.116393746000000,508603100
310,59774200,0.115785320800000,516250243
311,60353904,0.117045454300000,515645006
312,60937344,0.117711141700000,517685438
313,61524532,0.118787020900000,517939852
314,62115480,0.120423366600000,515809197
315,62710200,0.122520583400000,511833998
316,63308704,0.122006258300000,518897185
317,63911004,0.125375641900000,509756146
318,64517112,0.125559725000000,513836041
319,65127040,0.125707512400000,518083914
320,65740800,0.126985408200000,517703577
321,66358404,0.127490362300000,520497415
322,66979864,0.129253621000000,518204933
323,67605192,0.129999187500000,520043189
324,68234400,0.131851350000000,517510060
325,68867500,0.133014537500000,517744160
326,69504504,0.133664737500000,519991325
327,70145424,0.134837837500000,520220624
328,70790272,0.136756212500000,517638436
329,71439060,0.137097770900000,521081120
330,72091800,0.138293029000000,521297426
331,72748504,0.139703225000000,520736039
332,73409184,0.143509149900000,511529641
333,74073852,0.142475846000000,519904630
334,74742520,0.143150975000000,522123723
335,75415200,0.144392283300000,522293839
336,76091904,0.145613500100000,522560779
337,76772644,0.147309204100000,521166647
338,77457432,0.148407820700000,521922845
339,78146280,0.149679854300000,522089498
340,78839200,0.151207470800000,521397518
341,79536204,0.152523050100000,521470059
342,80237304,0.154582537600000,519058008
343,80942512,0.155394808200000,520882988
344,81651840,0.156121912300000,523000512
345,82365300,0.158039808500000,521168057
346,83082904,0.159305250100000,521532743
347,83804664,0.160083787300000,523505006
348,84530592,0.161257250000000,524197157
349,85260700,0.162690945700000,524065427
350,85995000,0.164043770900000,524219844
351,86733504,0.166089649900000,522208964
352,87476224,0.169301820900000,516688028
353,88223172,0.169251462600000,521255005
354,88974360,0.170231475000000,522666916
355,89729800,0.171887037400000,522027730
356,90489504,0.174463458500000,518673107
357,91253484,0.176810295900000,516109560
358,92021752,0.176062237400000,522666038
359,92794320,0.177746824800000,522058946
360,93571200,0.180007604300000,519818040
361,94352404,0.180720141500000,522091247
362,95137944,0.183046296000000,519747988
363,95927832,0.183832083100000,521823125
